Card	Time1	Time2	Time3	Time4	Time5
500000	3.2326e+006	3.1949e+006	3.1964e+006	3.2128e+006	3.2156e+006
1000000	6.3985e+006	6.3906e+006	6.3968e+006	6.4054e+006	6.4468e+006
1500000	9.6521e+006	9.6227e+006	9.6066e+006	9.633e+006	9.6344e+006
2000000	1.2807e+007	1.28136e+007	1.28208e+007	1.28245e+007	1.2829e+007
2500000	1.60159e+007	1.60461e+007	1.59968e+007	1.60345e+007	1.60199e+007
3000000	1.92387e+007	1.92414e+007	1.92131e+007	1.91921e+007	1.92319e+007
3500000	2.24819e+007	2.24182e+007	2.24663e+007	2.24225e+007	2.24487e+007
4000000	2.56769e+007	2.56326e+007	2.55943e+007	2.55999e+007	3.3372e+007
4500000	2.88666e+007	2.88117e+007	2.88607e+007	2.88296e+007	2.87671e+007
5000000	3.19898e+007	3.20215e+007	3.21673e+007	3.19965e+007	3.19894e+007
5500000	3.52288e+007	3.52683e+007	3.51769e+007	3.52312e+007	3.51865e+007
6000000	3.83858e+007	3.84932e+007	3.84553e+007	3.84188e+007	4.19315e+007
6500000	4.16221e+007	4.16936e+007	4.16323e+007	4.1672e+007	4.16471e+007
7000000	4.48704e+007	4.49303e+007	4.56863e+007	4.48499e+007	4.47856e+007
7500000	4.80817e+007	4.81333e+007	4.80217e+007	4.81395e+007	5.09242e+007
8000000	5.12638e+007	5.11786e+007	5.12674e+007	5.12985e+007	6.29416e+007
8500000	6.00935e+007	5.49225e+007	5.76916e+007	5.4472e+007	6.84655e+007
9000000	5.76843e+007	5.76844e+007	5.87509e+007	5.76245e+007	5.76673e+007
9500000	6.09359e+007	6.09735e+007	6.08893e+007	6.08351e+007	6.31265e+007
10000000	6.40746e+007	6.40691e+007	6.40083e+007	8.84501e+007	6.4164e+007
10500000	6.73335e+007	6.72557e+007	6.71988e+007	6.73084e+007	6.72861e+007
11000000	7.06055e+007	7.04708e+007	7.14291e+007	7.68883e+007	7.0438e+007
11500000	7.38045e+007	7.39137e+007	7.3685e+007	7.36579e+007	7.36331e+007
12000000	7.68818e+007	7.69208e+007	7.67895e+007	7.68225e+007	7.69321e+007
12500000	8.01674e+007	8.01295e+007	8.01068e+007	8.00033e+007	8.00404e+007
13000000	8.36237e+007	8.37438e+007	1.09146e+008	8.32324e+007	8.33741e+007
13500000	8.65791e+007	8.65039e+007	8.65822e+007	8.64517e+007	1.15016e+008
14000000	8.98025e+007	8.98006e+007	8.96562e+007	8.98059e+007	8.95169e+007
14500000	9.29521e+007	9.28053e+007	1.27835e+008	9.29188e+007	9.30258e+007
15000000	9.60953e+007	9.61095e+007	9.61197e+007	1.28775e+008	1.07139e+008
15500000	9.92594e+007	9.94346e+007	9.93818e+007	9.98719e+007	1.51874e+008
16000000	1.02452e+008	1.02639e+008	1.48417e+008	1.03361e+008	1.02855e+008
16500000	1.05717e+008	1.05788e+008	1.05785e+008	1.11274e+008	1.29601e+008
17000000	1.08963e+008	1.08922e+008	1.4253e+008	1.08806e+008	1.08987e+008
17500000	1.12055e+008	1.12102e+008	1.12068e+008	1.12208e+008	1.12208e+008
18000000	1.17296e+008	1.15354e+008	1.15529e+008	1.15313e+008	1.15372e+008
18500000	1.1869e+008	1.18505e+008	1.18821e+008	1.20951e+008	1.18495e+008
19000000	1.21815e+008	1.21749e+008	1.68845e+008	1.5531e+008	1.21717e+008
19500000	1.24949e+008	1.2505e+008	1.24971e+008	1.24894e+008	1.25834e+008
20000000	1.2821e+008	1.28088e+008	1.28076e+008	1.28143e+008	1.50941e+008
20500000	1.31661e+008	1.34507e+008	1.33124e+008	1.31198e+008	1.31296e+008
21000000	1.3487e+008	1.34919e+008	1.35566e+008	1.34666e+008	1.47401e+008
21500000	1.38189e+008	1.42803e+008	1.59882e+008	1.38189e+008	1.40785e+008
22000000	1.42485e+008	1.41298e+008	1.69334e+008	1.40961e+008	1.40902e+008
22500000	1.44105e+008	1.44122e+008	1.44215e+008	1.44457e+008	1.90674e+008
23000000	1.47294e+008	1.47568e+008	1.47396e+008	1.87206e+008	1.81268e+008
23500000	1.50655e+008	1.51702e+008	1.50631e+008	1.5064e+008	2.0053e+008
24000000	1.53809e+008	1.53652e+008	1.6937e+008	1.53755e+008	1.6837e+008
24500000	1.57223e+008	1.81819e+008	1.60533e+008	1.56926e+008	1.7276e+008
25000000	1.60107e+008	1.60225e+008	1.60111e+008	1.60267e+008	1.78625e+008
